iteration: 1260, loss: 0.0056, scmap loss: 0.0050, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1270, loss: 0.0054, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1280, loss: 0.0058, scmap loss: 0.0053, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1290, loss: 0.0051, scmap loss: 0.0047, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1300, loss: 0.0061, scmap loss: 0.0055, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1310, loss: 0.0053, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1320, loss: 0.0051, scmap loss: 0.0045, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1330, loss: 0.0060, scmap loss: 0.0053, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1340, loss: 0.0065, scmap loss: 0.0059, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1350, loss: 0.0060, scmap loss: 0.0053, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1360, loss: 0.0049, scmap loss: 0.0043, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1370, loss: 0.0056, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1380, loss: 0.0059, scmap loss: 0.0051, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1390, loss: 0.0060, scmap loss: 0.0054, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1400, loss: 0.0056, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1410, loss: 0.0048, scmap loss: 0.0043, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1420, loss: 0.0055, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1430, loss: 0.0051, scmap loss: 0.0045, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1440, loss: 0.0059, scmap loss: 0.0052, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1450, loss: 0.0050, scmap loss: 0.0044, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1460, loss: 0.0049, scmap loss: 0.0043, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1470, loss: 0.0064, scmap loss: 0.0057, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1480, loss: 0.0052, scmap loss: 0.0046, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1490, loss: 0.0054, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1500, loss: 0.0059, scmap loss: 0.0053, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1510, loss: 0.0059, scmap loss: 0.0052, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1520, loss: 0.0044, scmap loss: 0.0039, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1530, loss: 0.0055, scmap loss: 0.0050, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1540, loss: 0.0050, scmap loss: 0.0044, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1550, loss: 0.0055, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1560, loss: 0.0060, scmap loss: 0.0054, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1570, loss: 0.0059, scmap loss: 0.0053, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1580, loss: 0.0055, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1590, loss: 0.0061, scmap loss: 0.0055, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1600, loss: 0.0054, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1610, loss: 0.0067, scmap loss: 0.0061, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1620, loss: 0.0055, scmap loss: 0.0050, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 1630, loss: 0.0055, scmap loss: 0.0050, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1640, loss: 0.0061, scmap loss: 0.0054, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1650, loss: 0.0047, scmap loss: 0.0042, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1660, loss: 0.0048, scmap loss: 0.0044, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 1670, loss: 0.0049, scmap loss: 0.0045, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1680, loss: 0.0051, scmap loss: 0.0046, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1690, loss: 0.0050, scmap loss: 0.0045, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1700, loss: 0.0054, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1710, loss: 0.0056, scmap loss: 0.0050, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1720, loss: 0.0050, scmap loss: 0.0044, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1730, loss: 0.0050, scmap loss: 0.0044, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1740, loss: 0.0053, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1750, loss: 0.0053, scmap loss: 0.0046, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1760, loss: 0.0062, scmap loss: 0.0057, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1770, loss: 0.0054, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1780, loss: 0.0059, scmap loss: 0.0054, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1790, loss: 0.0054, scmap loss: 0.0049, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 1800, loss: 0.0054, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1810, loss: 0.0049, scmap loss: 0.0045, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 1820, loss: 0.0056, scmap loss: 0.0052, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1830, loss: 0.0050, scmap loss: 0.0046, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1840, loss: 0.0057, scmap loss: 0.0051, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1850, loss: 0.0057, scmap loss: 0.0050, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1860, loss: 0.0056, scmap loss: 0.0051, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1870, loss: 0.0052, scmap loss: 0.0046, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1880, loss: 0.0044, scmap loss: 0.0040, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 1890, loss: 0.0056, scmap loss: 0.0051, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1900, loss: 0.0048, scmap loss: 0.0043, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 1910, loss: 0.0048, scmap loss: 0.0043, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
